학원명,도로명주소,분야명,정원합계,Latitude,Longitude
대치정상수학학원,서울특별시 강남구 영동대로 229,종합(대),264,37.4995718,127.0674703
발자국소리가큰아이들청담미술학원,서울특별시 강남구 학동로63길 11,예능(대),5,37.51874780000001,127.0447799
수서브람스피아노교습소,서울특별시 강남구 광평로51길 27,예능(대),12,37.4891608,127.1009461
예향음악교습소,서울특별시 강남구 압구정로36길 34,예능(대),8,37.5262264,127.0313481
메릭스수학영어학원,서울특별시 강남구 강남대로66길 32,입시.검정 및 보습,30,37.4922802,127.0334257
애플트리개포어학학원,서울특별시 강남구 개포로 408,종합(대),921,37.4858037,127.0634758
에이급수학학원,서울특별시 강남구 삼성로 311,입시.검정 및 보습,26,37.49964180000001,127.0601672
압구정크라센2관어학원,서울특별시 강남구 압구정로34길 30,종합(대),666,37.5262165,127.0305175
핫국어교습소,서울특별시 강남구 압구정로 114,입시.검정 및 보습,16,37.5232774,127.021304
그림세계미술교습소,서울특별시 강남구 광평로31길 27,예능(대),24,37.4848958,127.0906778
일원그림과화실미술교습소,서울특별시 강남구 광평로10길 15,예능(대),16,37.482024,127.0821324
움뮤직음악학원,서울특별시 강남구 선릉로130길 20,예능(대),25,37.5161513,127.0434365
최상수학교습소,서울특별시 강남구 압구정로 224,입시.검정 및 보습,9,37.5285363,127.0321595
영재해법수학교습소,서울특별시 강남구 역삼로 306,입시.검정 및 보습,12,37.4985708,127.0464187
개포스마트해법영어교습소,서울특별시 강남구 선릉로 30,입시.검정 및 보습,28,37.4826789,127.0611803
두각K관학원,서울특별시 강남구 삼성로63길 25,입시.검정 및 보습,140,37.4993918,127.058098
압구정이화미술교습소,서울특별시 강남구 압구정로 113-22,예능(대),12,37.5247099,127.0196554
청담에이프릴어학원,서울특별시 강남구 삼성로119길 14,종합(대),93,37.5160444,127.0503312
지에스아이영어교습소,서울특별시 강남구 삼성로63길 15,입시.검정 및 보습,8,37.4996341,127.0589335
피아노산책음악교습소,서울특별시 강남구 개포로124길 19,예능(대),24,37.4934932,127.0832005
아트브릿지미술교습소,서울특별시 강남구 논현로157길 21,예능(대),9,37.5222093,127.0263002
도곡시매쓰보습학원,서울특별시 강남구 도곡로13길 5,입시.검정 및 보습,32,37.4914904,127.0364388
월드음악교습소,서울특별시 강남구 역삼로52길 14,예능(대),24,37.4985291,127.0479489
명인입시컨설팅학원,서울특별시 강남구 선릉로62길 32-2,입시.검정 및 보습,54,37.49768,127.0550939
대오교육이진선과학학원,서울특별시 강남구 삼성로 349,입시.검정 및 보습,50,37.502675,127.0584806
해법구룡엘리트영어교습소,서울특별시 강남구 개포로 251,입시.검정 및 보습,54,37.4792377,127.0498351
세정4층학원,서울특별시 강남구 삼성로 306,입시.검정 및 보습,186,37.4994476,127.0608995
리드인역삼독서논술교습소,서울특별시 강남구 역삼로52길 14,입시.검정 및 보습,6,37.4985291,127.0479489
상상력발전소보습학원,서울특별시 강남구 선릉로68길 9,입시.검정 및 보습,138,37.49914330000001,127.0524738
일프로아카데미(1%Academy)학원,서울특별시 강남구 삼성로71길 41,입시.검정 및 보습,24,37.5012117,127.0555697
수서해법영어교실교습소,서울특별시 강남구 광평로51길 27,입시.검정 및 보습,20,37.4891608,127.1009461
아이엠도화미술학원,서울특별시 강남구 선릉로76길 26,예능(대),70,37.5017991,127.0526984
에스엠논술학원,서울특별시 강남구 역삼로70길 28,입시.검정 및 보습,150,37.4996713,127.054138
개포닥터정이클래스학원,서울특별시 강남구 개포로 512,입시.검정 및 보습,100,37.4892714,127.0688177
카르페디엠과학교습소,서울특별시 강남구 선릉로 664,입시.검정 및 보습,12,37.5158959,127.0422861
여상진수리논술학원,서울특별시 강남구 도곡로 445,입시.검정 및 보습,160,37.4986522,127.059031
런앤리드영어교습소,서울특별시 강남구 남부순환로 2921,입시.검정 및 보습,2,37.4936059,127.0597001
이룸스터디학원,서울특별시 강남구 역삼로78길 15,입시.검정 및 보습,40,37.5015424,127.057313
예지피아노교습소,서울특별시 강남구 광평로10길 15,예능(대),12,37.482024,127.0821324
에이원(A1)과학학원,서울특별시 강남구 선릉로64길 11-5,입시.검정 및 보습,10,37.4983086,127.0528655
고래수학학원,서울특별시 강남구 봉은사로71길 31,입시.검정 및 보습,206,37.5142387,127.0491914
이수학학원,서울특별시 강남구 도곡로77길 26,입시.검정 및 보습,408,37.4999822,127.058129
란피아노교습소,서울특별시 강남구 언주로6길 4,예능(대),5,37.4776099,127.057872
입시연구소길학원,서울특별시 강남구 삼성로63길 17,입시.검정 및 보습,45,37.4995695,127.0587383
삼성점그린독서실,서울특별시 강남구 선릉로126길 12?,독서실,268,37.5152338,127.043076
한수학교습소,서울특별시 강남구 압구정로 224,입시.검정 및 보습,2,37.5285363,127.0321595
옳음국어학원,서울특별시 강남구 삼성로64길 35,입시.검정 및 보습,13,37.5007014,127.0631946
김종현영어교습소,서울특별시 강남구 도곡로93길 9,입시.검정 및 보습,17,37.5008373,127.0645016
연세매쓰클리닉(YONSEI MATH CLINIC)수학교습소,서울특별시 강남구 선릉로 664,입시.검정 및 보습,16,37.5158959,127.0422861
한빛미술교습소,서울특별시 강남구 개포로109길 5,예능(대),37,37.4941844,127.0752156
밍중국어교습소,서울특별시 강남구 개포로 512,입시.검정 및 보습,7,37.4892714,127.0688177
